time,WLD_gdp_per_capita_constant_us$,WLD_gdp_per_capita_%_growth,WLD_consumer_price_index_%,WLD_unemployment_%_of_total_labor_force,WLD_government_debt_total_local_currency,WLD_government_debt_total_%_of_gdp,WLD_government_expense_local_currency,WLD_government_expense_%_gdp,WLD_current_account_balance_us$,WLD_industry_value_added_us$,WLD_industry_value_added_%_growth,WLD_net_trade_goods_services_us$,WLD_net_financial_flows_multilateral_us$,WLD_gdp_%_growth,ARG_gdp_per_capita_constant_us$,ARG_gdp_per_capita_%_growth,ARG_consumer_price_index_%,ARG_unemployment_%_of_total_labor_force,ARG_government_debt_total_local_currency,ARG_government_debt_total_%_of_gdp,ARG_government_expense_local_currency,ARG_government_expense_%_gdp,ARG_current_account_balance_us$,ARG_industry_value_added_us$,ARG_industry_value_added_%_growth,ARG_net_trade_goods_services_us$,ARG_net_financial_flows_multilateral_us$,ARG_gdp_%_growth,AUS_gdp_per_capita_constant_us$,AUS_gdp_per_capita_%_growth,AUS_consumer_price_index_%,AUS_unemployment_%_of_total_labor_force,AUS_government_debt_total_local_currency,AUS_government_debt_total_%_of_gdp,AUS_government_expense_local_currency,AUS_government_expense_%_gdp,AUS_current_account_balance_us$,AUS_industry_value_added_us$,AUS_industry_value_added_%_growth,AUS_net_trade_goods_services_us$,AUS_net_financial_flows_multilateral_us$,AUS_gdp_%_growth,BRA_gdp_per_capita_constant_us$,BRA_gdp_per_capita_%_growth,BRA_consumer_price_index_%,BRA_unemployment_%_of_total_labor_force,BRA_government_debt_total_local_currency,BRA_government_debt_total_%_of_gdp,BRA_government_expense_local_currency,BRA_government_expense_%_gdp,BRA_current_account_balance_us$,BRA_industry_value_added_us$,BRA_industry_value_added_%_growth,BRA_net_trade_goods_services_us$,BRA_net_financial_flows_multilateral_us$,BRA_gdp_%_growth,CAN_gdp_per_capita_constant_us$,CAN_gdp_per_capita_%_growth,CAN_consumer_price_index_%,CAN_unemployment_%_of_total_labor_force,CAN_government_debt_total_local_currency,CAN_government_debt_total_%_of_gdp,CAN_government_expense_local_currency,CAN_government_expense_%_gdp,CAN_current_account_balance_us$,CAN_industry_value_added_us$,CAN_industry_value_added_%_growth,CAN_net_trade_goods_services_us$,CAN_net_financial_flows_multilateral_us$,CAN_gdp_%_growth,CHN_gdp_per_capita_constant_us$,CHN_gdp_per_capita_%_growth,CHN_consumer_price_index_%,CHN_unemployment_%_of_total_labor_force,CHN_government_debt_total_local_currency,CHN_government_debt_total_%_of_gdp,CHN_government_expense_local_currency,CHN_government_expense_%_gdp,CHN_current_account_balance_us$,CHN_industry_value_added_us$,CHN_industry_value_added_%_growth,CHN_net_trade_goods_services_us$,CHN_net_financial_flows_multilateral_us$,CHN_gdp_%_growth,FRA_gdp_per_capita_constant_us$,FRA_gdp_per_capita_%_growth,FRA_consumer_price_index_%,FRA_unemployment_%_of_total_labor_force,FRA_government_debt_total_local_currency,FRA_government_debt_total_%_of_gdp,FRA_government_expense_local_currency,FRA_government_expense_%_gdp,FRA_current_account_balance_us$,FRA_industry_value_added_us$,FRA_industry_value_added_%_growth,FRA_net_trade_goods_services_us$,FRA_net_financial_flows_multilateral_us$,FRA_gdp_%_growth,DEU_gdp_per_capita_constant_us$,DEU_gdp_per_capita_%_growth,DEU_consumer_price_index_%,DEU_unemployment_%_of_total_labor_force,DEU_government_debt_total_local_currency,DEU_government_debt_total_%_of_gdp,DEU_government_expense_local_currency,DEU_government_expense_%_gdp,DEU_current_account_balance_us$,DEU_industry_value_added_us$,DEU_industry_value_added_%_growth,DEU_net_trade_goods_services_us$,DEU_net_financial_flows_multilateral_us$,DEU_gdp_%_growth,IND_gdp_per_capita_constant_us$,IND_gdp_per_capita_%_growth,IND_consumer_price_index_%,IND_unemployment_%_of_total_labor_force,IND_government_debt_total_local_currency,IND_government_debt_total_%_of_gdp,IND_government_expense_local_currency,IND_government_expense_%_gdp,IND_current_account_balance_us$,IND_industry_value_added_us$,IND_industry_value_added_%_growth,IND_net_trade_goods_services_us$,IND_net_financial_flows_multilateral_us$,IND_gdp_%_growth,IDN_gdp_per_capita_constant_us$,IDN_gdp_per_capita_%_growth,IDN_consumer_price_index_%,IDN_unemployment_%_of_total_labor_force,IDN_government_debt_total_local_currency,IDN_government_debt_total_%_of_gdp,IDN_government_expense_local_currency,IDN_government_expense_%_gdp,IDN_current_account_balance_us$,IDN_industry_value_added_us$,IDN_industry_value_added_%_growth,IDN_net_trade_goods_services_us$,IDN_net_financial_flows_multilateral_us$,IDN_gdp_%_growth,ITA_gdp_per_capita_constant_us$,ITA_gdp_per_capita_%_growth,ITA_consumer_price_index_%,ITA_unemployment_%_of_total_labor_force,ITA_government_debt_total_local_currency,ITA_government_debt_total_%_of_gdp,ITA_government_expense_local_currency,ITA_government_expense_%_gdp,ITA_current_account_balance_us$,ITA_industry_value_added_us$,ITA_industry_value_added_%_growth,ITA_net_trade_goods_services_us$,ITA_net_financial_flows_multilateral_us$,ITA_gdp_%_growth,JPN_gdp_per_capita_constant_us$,JPN_gdp_per_capita_%_growth,JPN_consumer_price_index_%,JPN_unemployment_%_of_total_labor_force,JPN_government_debt_total_local_currency,JPN_government_debt_total_%_of_gdp,JPN_government_expense_local_currency,JPN_government_expense_%_gdp,JPN_current_account_balance_us$,JPN_industry_value_added_us$,JPN_industry_value_added_%_growth,JPN_net_trade_goods_services_us$,JPN_net_financial_flows_multilateral_us$,JPN_gdp_%_growth,MEX_gdp_per_capita_constant_us$,MEX_gdp_per_capita_%_growth,MEX_consumer_price_index_%,MEX_unemployment_%_of_total_labor_force,MEX_government_debt_total_local_currency,MEX_government_debt_total_%_of_gdp,MEX_government_expense_local_currency,MEX_government_expense_%_gdp,MEX_current_account_balance_us$,MEX_industry_value_added_us$,MEX_industry_value_added_%_growth,MEX_net_trade_goods_services_us$,MEX_net_financial_flows_multilateral_us$,MEX_gdp_%_growth,RUS_gdp_per_capita_constant_us$,RUS_gdp_per_capita_%_growth,RUS_consumer_price_index_%,RUS_unemployment_%_of_total_labor_force,RUS_government_debt_total_local_currency,RUS_government_debt_total_%_of_gdp,RUS_government_expense_local_currency,RUS_government_expense_%_gdp,RUS_current_account_balance_us$,RUS_industry_value_added_us$,RUS_industry_value_added_%_growth,RUS_net_trade_goods_services_us$,RUS_net_financial_flows_multilateral_us$,RUS_gdp_%_growth,SAU_gdp_per_capita_constant_us$,SAU_gdp_per_capita_%_growth,SAU_consumer_price_index_%,SAU_unemployment_%_of_total_labor_force,SAU_government_debt_total_local_currency,SAU_government_debt_total_%_of_gdp,SAU_government_expense_local_currency,SAU_government_expense_%_gdp,SAU_current_account_balance_us$,SAU_industry_value_added_us$,SAU_industry_value_added_%_growth,SAU_net_trade_goods_services_us$,SAU_net_financial_flows_multilateral_us$,SAU_gdp_%_growth,ZAF_gdp_per_capita_constant_us$,ZAF_gdp_per_capita_%_growth,ZAF_consumer_price_index_%,ZAF_unemployment_%_of_total_labor_force,ZAF_government_debt_total_local_currency,ZAF_government_debt_total_%_of_gdp,ZAF_government_expense_local_currency,ZAF_government_expense_%_gdp,ZAF_current_account_balance_us$,ZAF_industry_value_added_us$,ZAF_industry_value_added_%_growth,ZAF_net_trade_goods_services_us$,ZAF_net_financial_flows_multilateral_us$,ZAF_gdp_%_growth,KOR_gdp_per_capita_constant_us$,KOR_gdp_per_capita_%_growth,KOR_consumer_price_index_%,KOR_unemployment_%_of_total_labor_force,KOR_government_debt_total_local_currency,KOR_government_debt_total_%_of_gdp,KOR_government_expense_local_currency,KOR_government_expense_%_gdp,KOR_current_account_balance_us$,KOR_industry_value_added_us$,KOR_industry_value_added_%_growth,KOR_net_trade_goods_services_us$,KOR_net_financial_flows_multilateral_us$,KOR_gdp_%_growth,TUR_gdp_per_capita_constant_us$,TUR_gdp_per_capita_%_growth,TUR_consumer_price_index_%,TUR_unemployment_%_of_total_labor_force,TUR_government_debt_total_local_currency,TUR_government_debt_total_%_of_gdp,TUR_government_expense_local_currency,TUR_government_expense_%_gdp,TUR_current_account_balance_us$,TUR_industry_value_added_us$,TUR_industry_value_added_%_growth,TUR_net_trade_goods_services_us$,TUR_net_financial_flows_multilateral_us$,TUR_gdp_%_growth,GBR_gdp_per_capita_constant_us$,GBR_gdp_per_capita_%_growth,GBR_consumer_price_index_%,GBR_unemployment_%_of_total_labor_force,GBR_government_debt_total_local_currency,GBR_government_debt_total_%_of_gdp,GBR_government_expense_local_currency,GBR_government_expense_%_gdp,GBR_current_account_balance_us$,GBR_industry_value_added_us$,GBR_industry_value_added_%_growth,GBR_net_trade_goods_services_us$,GBR_net_financial_flows_multilateral_us$,GBR_gdp_%_growth,USA_gdp_per_capita_constant_us$,USA_gdp_per_capita_%_growth,USA_consumer_price_index_%,USA_unemployment_%_of_total_labor_force,USA_government_debt_total_local_currency,USA_government_debt_total_%_of_gdp,USA_government_expense_local_currency,USA_government_expense_%_gdp,USA_current_account_balance_us$,USA_industry_value_added_us$,USA_industry_value_added_%_growth,USA_net_trade_goods_services_us$,USA_net_financial_flows_multilateral_us$,USA_gdp_%_growth
YR1960,3608.12685,,,,,,,,,,,,,,7410.305029,,,,,,,,,,,,,,19948.02997,,3.728813559,,,,,,,,,,,,2578.428728,,,,,,,,,,,,,,,,1.358695652,,,,,,-1187187628,,,-506965097.1,,,238.2170645,,,,,,,,,,,,,,11169.64724,,4.139935755,,,,,,,,,,,,,,1.536612343,,,,,,,,,,,,305.7892556,,1.779877847,,,,,,,,,,,,597.1474029,,39.59044369,,,,,,,,,,,,9687.647006,,2.350161414,,,,,,,,,,,,6260.67597,,3.574511525,,,,,,,,,,,,3897.092044,,4.927518869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3974.033611,,1.288859035,,,,,,48999980.42,,,377999849,,,1027.468538,,7.965565755,,,,,,,,,,,,2506.090673,,5.664739884,,,,,,,,,,,,14914.88076,,1.003575704,,,,,,,,,,,,19135.26818,,1.457975986,,,,,,,,,,,
YR1961,3694.968086,2.406823253,,,,,,,,,,,,3.790081012,7687.517338,3.740902814,,,,,,,,,,,,5.427842876,20040.52311,0.463670522,2.287581699,,,,,,,,,,,2.482656077,2717.001315,5.374303544,,,,,,,,,9.496208363,,,8.6,,1.121346226,1.018766756,,,,,,-1105883474,,,-212120980.7,,3.163291684,175.0236906,-26.52764361,,,,,,,,,-41.90000001,,,-27.27,11598.67953,3.841054942,2.400461045,,,,,,,,7.93744172,,,4.980111849,,,2.293695007,,,,,,,,,,,,309.9466884,1.359574512,1.695212939,,,,,,,,6.712676594,,,3.722742533,614.504129,2.906606658,13.69193154,,,,,,,,11.78571429,,,5.740645823,10412.90484,7.486418839,2.050697313,,,,,,,,,,,8.207245914,6952.109597,11.04407304,5.368461785,,,,,,,,,,,12.04353641,3963.933049,1.715150814,1.608759691,,,,,,,,,,,5.000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4012.896637,0.977923939,2.102373963,,,,,,270199892,,4.562434528,639799744.3,,3.844734142,1066.610515,3.809554762,8.195652883,,,,,,,,6.29963261,,,6.935992652,2468.308533,-1.507612644,3.172856997,,,,,,,,,,,1.156069385,15198.15342,1.899261982,3.44749623,,,,,,,,,,,2.677118943,19253.54733,0.618121193,1.070724148,,,,,,,,,,,2.3
YR1962,3823.614985,3.481678204,,,,,,,,,,,,5.314851377,7498.840061,-2.454333032,,,,,,,,,,,,-0.852021522,19810.51808,-1.147699708,-0.319488818,,,,,,,,,,,1.29461125,2811.62711,3.482729076,,,,,,,,,6.943633655,,,6.6,,5.445858236,1.061571125,,,,,,-1080531892,,,-95384130.62,,7.425384774,163.9070524,-6.351504864,,,,,,,,,-10.59999997,,,-5.57999999,12257.7593,5.682369056,5.331280071,,,,,,,,6.640266451,,,6.843469985,,,2.843270198,,,,,,,,,,,,311.741193,0.578972021,3.632214971,,,,,,,,7.072027924,,,2.931127735,608.8708041,-0.916726948,131.3978495,,,,,,,,-0.319488817,,,1.841977702,10984.31067,5.48747777,4.691143607,,,,,,,,,,,6.203650458,7501.445444,7.901714421,6.835440348,,,,,,,,,,,8.908972996,4015.410516,1.298646228,1.198984178,,,,,,,,,,,4.664414673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135.767498,3.061899477,1.246285378,,,,,,429799828.3,,7.092585125,743399702.9,,6.17793085,1076.920824,0.966642374,6.618310975,,,,,,,,16.54185175,,,3.895272531,2535.943615,2.740138906,3.888320251,,,,,,,,,,,5.571428582,15235.9237,0.248518863,4.196498882,,,,,,,,,,,1.102909649,20116.23512,4.480669354,1.198773348,,,,,,,,,,,6.1
YR1963,3937.998747,2.991508384,,,,,,,,,,,,5.184482633,6986.564802,-6.831393315,,,,,,,,,,,,-5.308196825,20642.25997,4.198486307,0.641025641,,,,,,,,,,,6.216107341,2746.513434,-2.315871662,,,,,,,,,0.142309589,,,0.6,,3.405212917,1.628151261,,,,,,-841511701.6,,,309278759.9,,5.349546457,176.400465,7.622254461,,,,,,,,,14.49999999,,,10.3,12884.01704,5.109071906,4.999152898,,,,,,,,7.353343661,,,6.233679952,,,2.966959776,,,,,,,,,,,,322.8856322,3.574901046,2.946161357,,,,,,,,9.447274592,,,5.994353262,579.0168415,-4.90316869,145.9107807,,,,,,,,-4.967948715,,,-2.237029984,11516.17676,4.842052489,7.454718225,,,,,,,,,,,5.609727978,8055.041395,7.379857063,6.706905564,,,,,,,,,,,8.473642383,4199.918297,4.594991723,0.594055008,,,,,,,,,,,8.106886928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4308.042818,4.165498177,1.337969714,,,,,,194599922.2,,8.135816597,510999795.8,,7.373709249,1141.820659,6.026425874,20.69164732,,,,,,,,14.82745061,,,9.020568283,2692.213168,6.162185629,6.362706928,,,,,,,,,,,9.066305552,15859.44911,4.09246874,2.01854356,,,,,,,,,,,4.874383998,20701.26995,2.908271948,1.239669421,,,,,,,,,,,4.4
YR1964,4109.998137,4.367685237,,,,,,,,,,,,6.557806,7572.231166,8.382751477,,,,,,,,,,,,10.13029766,21653.97784,4.901197227,2.866242038,,,,,,,,,,,6.980061136,2758.862972,0.449644185,,,,,,,,,6.204450395,,,3.4,,4.650755482,1.912144703,,,,,,-453738889.1,,,563628154.5,,6.642894415,203.6878449,15.46899542,,,,,,,,,25.50000002,,,18.17999999,13587.67167,5.461453726,3.211191703,,,,,,,,9.778770246,,,6.652099508,,,2.335735812,,,,,,,,,,,,339.0573121,5.008485432,13.35526115,,,,,,,,6.479269772,,,7.452950123,582.9756509,0.68371231,108.994709,,,,,,,,0.674536254,,,3.529698148,11741.37937,1.95553271,5.912322532,,,,,,,,,,,2.797702279,8902.495553,10.52079209,3.800389453,,,,,,,,,,,11.6767082,4546.234597,8.245786588,2.337903172,,,,,,,,,,,11.90548077,,,,,,,,,,,,,,,,,2.799999999,,,,,,,,,,,,4509.884852,4.68523742,2.534972841,,,,,,-160999935.7,,11.00861025,198799920.6,,7.939608645,1217.726265,6.647769518,29.46283145,,,,,,,,10.04719189,,,9.473824718,2766.383072,2.754978861,1.119637815,,,,,,,,,,,5.459056798,16628.57608,4.849644927,3.281586947,,,,,,,,,,,5.533659386,21599.81871,4.340548963,1.278911565,,,,,,,,,,,5.8
YR1965,4249.735255,3.399931418,,,,,,,,,,,,5.549061304,8241.529337,8.838850212,,,,,,,,,,,,10.56943334,22503.62361,3.923739909,3.405572755,,,,,,,,,,,5.980437905,2746.257726,-0.456900052,,,,,,,,,-1.422161784,,,2.4,,4.409518317,2.332657201,,,,,,-1657803081,,,-72914365.29,,6.316714176,232.607219,14.19788901,,,,,,,,,24.00000002,,,16.95,14089.58455,3.693884357,2.703104559,,,,,,,,6.590709734,,,4.861507696,,,3.242319237,,,,,,,,,,,,322.82322,-4.788008238,9.474758592,,,,,,,,4.525376828,,,-2.63577011,574.8178081,-1.399345362,306.7631103,,,,,,,,1.675041878,,,1.081589467,12023.41272,2.402046147,4.519268307,,,,,,,,,,,3.26802372,9319.706558,4.686450016,6.655990943,,,,,,,,,,,5.819707873,4709.050669,3.581338994,3.568038657,,,,,,,,,,,7.099999997,,,,,,,,,,,,,,,,,0.389105059,,,,,,,,,,,,4640.319987,2.892205441,4.069028735,,,,,,-516599793.6,,6.230838792,-121799951.3,,6.122798096,1274.041507,4.624622445,13.54819471,,,,,,,,21.30987768,,,7.31843358,2775.433757,0.327166735,4.555533684,,,,,,,,,,,2.823529543,16876.01736,1.488048483,4.773774554,,,,,,,,,,,2.142176544,22696.67858,5.07809761,1.585169264,,,,,,,,,,,6.4
YR1966,4399.611646,3.526723011,,,,,,,,,,,,5.712569217,8059.450431,-2.20928541,,,,,,,,,1.109731688,,,-0.659726171,22518.9306,0.06802009,3.293413174,,,,,,,,,,,2.379039521,2850.901018,3.810395918,,,,,,,,,10.7630833,,,6.7,,4.735675775,3.815659068,,,,,,-1578616024,,,14746027.03,,6.704991764,250.3049158,7.608403928,,,,,,,,,22.19999998,,,10.65,14670.50051,4.123016935,2.602000766,,,,,,,,5.884625462,,,5.251837046,,,3.533060355,,,,,,,,,,,,315.7759833,-2.183001818,10.80184835,,,,,,,,3.568279108,,,-0.05532877,577.1514122,0.405972819,1136.254112,,,,,,,,1.812191105,,,2.791346825,12644.32138,5.164163281,2.346588934,,,,,,,,,,,5.984794225,10217.41421,9.632359631,5.040832059,,,,,,,,,,,10.63856156,4833.002728,2.632209062,4.215788377,,,,,,,,8.708873454,,,6.096139303,,,,,,,,,,,,,,,,,1.550387596,,,,,,,,,,,,4698.711493,1.258350839,3.48923369,,,,,,-146999941.3,,4.270824682,264599894.3,,4.438386089,1391.420249,9.213101876,11.26138488,,,,,,,,17.8163935,,,11.99395661,3010.054473,8.453479206,8.471996215,,,,,,,,,,,11.21281504,17047.25246,1.014665361,3.909617792,,,,,,,,,,,1.573100414,23894.40815,5.277113858,3.015075377,,,,,,,,,,,6.5
YR1967,4489.9807,2.054023415,,,,,,,,,,,,4.152779392,8187.373351,1.587241218,,,,,,,,,4.231080068,,,3.191996623,23638.46282,4.971515944,3.47826087,,,,,,,,,,,6.304945208,2892.683912,1.465603109,,,,,,,,,3.311162118,,,4.2,,1.25281683,3.579952267,,,,,,-1278892822,,,659237891.7,,3.091205962,229.8762862,-8.161497585,,,,,,,,,-14.29999999,,,-5.770000004,15234.3647,3.843523884,2.791777094,,,,,,,,4.914836359,,,4.921148915,,,1.796049922,,,,,,,,,,,,333.3168912,5.55485816,13.06220248,,,,,,,,3.341438169,,,7.825963031,570.2529991,-1.195251881,106,,,,,,,,3.074433654,,,1.380402805,13454.27585,6.405677604,3.733338321,,,,,,,,,,,7.178612466,11232.9061,9.938834499,3.989848089,,,,,,,,,,,11.08214232,4950.523153,2.431623403,3.016948475,,,,,,,,7.402260884,,,5.854924879,,,,,,,,,,,,,,,,,2.099236642,,,,,,,,,,,,4883.630951,3.935535478,3.538991533,,,,,,-375199850.1,,2.951178015,47599980.98,,7.196523065,1482.72649,6.562089374,10.88244006,,,,,,,,22.01933537,,,9.079606554,3071.01618,2.025269249,13.97489295,,,,,,,,,,,4.732510244,17428.15838,2.234412369,2.482115605,,,,,,,,,,,2.786474642,24226.52879,1.389951286,2.772785623,,,,,,,,,,,2.5
YR1968,4660.303316,3.793393056,,,,,,,,,,,,5.941863237,8450.037064,3.20815605,,,,,,,,,9.474208411,,,4.822500779,24408.19418,3.256266533,2.521008403,,,,,,,,,,,5.094033799,3095.221555,7.001720507,,,,,,,,,14.43706241,,,9.8,,3.315250035,4.055299539,,,,,,-980740554.3,,,863477545.4,,4.995666605,214.7700773,-6.571451614,,,,,,,,,-9.200000027,,,-4.099999987,15767.28334,3.498134982,4.543204864,,,,,,,,3.258968063,,,4.491308886,,,1.470289313,,,,,,,,,,,,337.2157984,1.169729838,3.237412426,,,,,,,,4.726125464,,,3.387929176,615.8182647,7.990359669,128.8430421,,,,,,,,17.89638933,,,10.91517857,14244.52546,5.873594596,1.277313354,,,,,,,,,,,6.544554655,12537.88089,11.61742815,5.339432957,,,,,,,,,,,12.88246814,5243.22942,5.912633025,2.333950935,,,,,,,,7.957018929,,,9.423278818,,,,,,,,,,,,,,,13249.17635,,1.588785047,,,,,,,,,,,,4931.855521,0.98747369,1.986135529,,,,,,-19599992.17,,4.750627514,449399820.4,,4.153372983,1639.452982,10.57015527,10.7718214,,,,,,,,22.9618932,,,13.16576829,3196.17578,4.075510914,6.046239662,,,,,,,,,,,6.77799601,18287.2057,4.929076844,4.697427988,,,,,,,,,,,5.441083438,25137.16024,3.758819368,4.271796153,,,,,,,,,,,4.8
YR1969,4829.812191,3.637292758,,,,,,,,,,,,5.815589521,9126.186479,8.001733126,,,,,,,,,11.5461698,,,9.679526011,25586.71445,4.828379609,3.278688525,,,,,,,,,,,7.045584074,3304.855891,6.772837836,,,,,,,,,11.11300227,,,9.5,,3.626733255,4.561558902,,,,,,-1945698726,,,91577097.89,,5.045456367,244.3639772,13.77934034,,,,,,,,,33.00000004,,,16.94,16738.16766,6.157587868,6.045962842,,,,,,,,7.112459104,,,7.109475345,,,1.912678488,,,,,,,,,,,,351.4400025,4.218131001,-0.58413661,,,,,,,,7.293740607,,,6.539700299,640.1724687,3.954771294,15.47987022,,,,,,,,18.50865512,,,6.822298249,15027.85749,5.499179506,2.657252734,,,,,,,,,,,6.098059996,13935.68627,11.14865732,5.249820911,,,,,,,,,,,12.47789451,5250.604107,0.140651623,3.367003367,,,,,,,,7.681713539,,,3.418620024,,,,,,,,,,,,,,,13471.63543,1.679040869,3.495860166,,,,,,,,5.018261885,,,6.037886549,5008.897739,1.562134521,3.23822452,,,,,,-480199808.1,,5.883258041,89599964.2,,4.715902867,1836.145882,11.99747123,12.38956471,,,,,,,,20.59893432,,,14.5613667,3246.338084,1.569447612,4.924193945,,,,,,,,9.315293329,,,4.081145621,18561.72829,1.501172983,5.44666363,,,,,,,,,,,1.924096835,25664.37943,2.097369706,5.4623862,,,,,,,,,,,3.1
